Niagara,82,345,720,30,35,395,375,110,20,150,150,90
Dufferin Grove,83,110,420,25,80,280,1100,30,35,30,15,50
Little Portugal,84,90,640,0,40,135,1595,40,0,20,20,40
South Parkdale,85,145,290,190,25,250,130,385,20,85,60,45
Roncesvalles,86,155,250,85,10,105,220,60,15,25,10,15
High Park-Swansea,87,235,185,0,35,220,90,25,25,225,60,95
High Park North,88,255,220,45,25,270,200,105,45,505,110,175
Runnymede-Bloor West Village,89,115,70,0,25,55,25,20,0,20,5,10
Junction Area,90,70,310,0,55,225,345,110,10,75,0,20
Weston-Pellam Park,91,50,150,5,295,405,1480,40,5,20,10,10
Corso Italia-Davenport,92,85,260,0,890,555,1730,80,0,15,55,25
Dovercourt-Wallace Emerson-Juncti,93,240,1480,170,545,715,3525,95,100,90,25,150
Wychwood,94,95,415,5,235,210,455,105,0,50,5,60
Annex,95,315,780,25,200,255,185,35,25,125,175,235
Casa Loma,96,60,135,15,20,120,15,25,0,70,40,5
Yonge-St.Clair,97,110,125,20,15,125,35,25,10,95,105,75
Rosedale-Moore Park,98,175,330,0,15,170,65,40,25,85,120,90
Mount Pleasant East,99,185,205,5,5,170,55,90,5,120,145,80
Yonge-Eglinton,100,100,175,20,20,155,55,40,10,65,85,105
Forest Hill South,101,75,210,5,10,70,35,45,0,75,45,20
Forest Hill North,102,65,105,5,35,240,60,485,5,265,80,50
Lawrence Park South,103,135,215,0,15,60,15,70,10,100,120,65
Mount Pleasant West,104,290,525,105,30,535,225,200,30,430,720,430
Lawrence Park North,105,105,240,0,10,100,30,35,0,95,115,90
Humewood-Cedarvale,106,80,80,5,85,285,145,445,10,80,15,75
Oakwood Village,107,105,395,15,870,875,1100,625,10,90,20,60
Briar Hill-Belgravia,108,55,185,35,445,485,800,945,5,340,30,50
Caledonia-Fairbank,109,30,70,10,360,450,1700,230,10,10,5,10
Keelesdale-Eglinton West,110,45,150,35,365,580,1990,255,50,15,0,15
Rockcliffe-Smythe,111,120,325,35,265,1290,1770,170,70,95,20,30
Beechborough-Greenbrook,112,30,40,80,160,170,515,120,20,0,5,5
Weston,113,100,140,210,190,725,480,165,30,35,65,40
Lambton Baby Point,114,85,35,0,5,120,40,25,5,75,20,15
Mount Dennis,115,50,180,45,75,725,645,285,20,45,35,85
Steeles,116,30,13255,140,95,45,10,140,80,20,35,65
L'Amoreaux,117,235,12245,2060,280,190,45,725,290,55,365,165
Tam O'Shanter-Sullivan,118,120,6295,890,125,135,25,595,445,30,235,145
Wexford/Maryvale,119,165,1045,725,230,270,55,1010,270,35,170,110
Clairlea-Birchmount,120,150,1280,300,195,200,65,775,540,55,190,55
Oakridge,121,95,470,150,60,60,20,220,250,20,245,10
Birchcliffe-Cliffside,122,160,430,60,65,75,35,135,55,55,60,5
Cliffcrest,123,50,430,300,50,55,20,155,75,50,105,25
Kennedy Park,124,55,755,690,140,110,25,675,160,0,125,35
Ionview,125,75,420,730,55,70,25,695,170,10,60,15
Dorset Park,126,105,1855,1710,55,120,30,1020,470,25,325,40
Bendale,127,135,3120,1450,95,220,50,820,685,30,365,115
Agincourt South-Malvern West,128,60,8130,805,165,75,30,225,310,20,115,70
Agincourt North,129,55,12470,1830,45,90,25,390,220,0,55,35
Milliken,130,15,14070,925,10,40,10,280,100,5,50,10
Rouge,131,140,1015,6045,60,130,50,1030,660,25,235,30
Malvern,132,185,2260,4325,30,220,35,1420,1380,30,185,50
Centennial Scarborough,133,40,250,235,50,50,15,150,95,35,70,20
Highland Creek,134,20,495,920,75,40,20,170,155,5,60,50
Morningside,135,110,455,1075,25,100,20,510,295,0,115,45
West Hill,136,210,420,625,125,210,30,610,305,60,235,25
Woburn,137,220,2530,3510,140,300,90,1150,1285,40,715,85
Eglinton East,138,220,555,1885,110,155,65,865,190,10,250,25
Scarborough Village,139,130,220,1000,65,135,20,330,570,20,350,20
Guildwood,140,45,125,65,5,40,10,80,15,25,35,15
